Name,FoodGroup,Protein,Fat,Carbohydrates,Calories,Sugar,Calcium,Potasssium,VitaminA,VitaminC,Folate,img
Apple,Fruit,0.26,0.17,13.81,52,10.39,6,107,54,4.6,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Honeycrisp.jpg/220px-Honeycrisp.jpg
Apricot,Fruit,1.4,0.39,11.12,48,9.24,13,259,1926,10,9,https://images.unsplash.com/photo-1567779833503-606dc39a14fd?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Avocado,Fruit,2,14.66,8.53,160,0.66,12,485,146,10,81,https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Banana,Fruit,1.09,0.33,22.84,89,12.23,5,358,64,8.7,20,https://images.unsplash.com/photo-1531326240216-7b04ad593229?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Blackberries,Fruit,1.39,0.49,9.61,43,4.88,29,162,214,21,25,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ripe%2C_ripening%2C_and_green_blackberries.jpg/220px-Ripe%2C_ripening%2C_and_green_blackberries.jpg
Blueberries,Fruit,0.74,0.33,14.49,57,9.96,6,77,54,9.7,6,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/PattsBlueberries.jpg/220px-PattsBlueberries.jpg
Sour Cherries,Fruit,1,0.3,12.18,50,8.49,16,173,1283,10,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROv7tVWmtE-kMqGaBrGl8m7MRJ47ODU4oBm_U_sYRVWBnW83Gj
Sweet Cherries,Fruit,1.06,0.2,16.01,63,12.82,13,222,64,7,4,https://www.bithellfarms.com/wp-content/uploads/2015/08/dark-sweet-cherries.jpg
Cranberries,Fruit,0,0.13,11.97,46,4.27,8,80,63,14,1,https://cdn-prod.medicalnewstoday.com/content/images/articles/306/306498/cranberries.jpg
Grapefruit,Fruit,0.77,0.14,10.66,42,6.89,22,135,1150,31.2,13,https://www.organicfacts.net/wp-content/uploads/grapefruit.jpg
Grapes,Fruit,0.72,0.16,18.1,69,15.48,10,191,66,3.2,2,https://cf.ltkcdn.net/wine/images/std/165373-425x283-grapes.jpg
Guava,Fruit,2.55,0.95,14.32,68,8.92,18,417,624,228.3,49,https://plantogram.com/wa-data/public/shop/products/02/02/202/images/1154/1154.970.jpg
Kiwifruit,Fruit,1.14,0.52,14.66,61,8.99,34,312,87,92.7,25,https://snaped.fns.usda.gov/sites/default/files/styles/crop_ratio_7_5/public/seasonal-produce/2018-05/kiwi.jpg?itok=jv-VEN7M
Kumquat,Fruit,1.88,0.86,15.9,71,9.36,62,186,290,43.9,17,https://cdn.shopify.com/s/files/1/2336/3219/products/shutterstock_92547181kumquat1_x850.jpg?v=1531797243
Lemon,Fruit,1.1,0.3,9.32,29,2.5,26,138,22,53,11,https://cdn.shopify.com/s/files/1/2336/3219/products/shutterstock_77846398eureka2_x850.jpg?v=1554665666
Lime,Fruit,0.7,0.2,10.54,30,1.69,33,102,50,29.1,8,https://freshharvest.co/wp-content/uploads/catalog/product/persianlimefusedoliveoil_2nd.jpg
Mango,Fruit,0.82,0.38,14.98,60,13.66,11,168,1082,36.4,43,https://www.thegrowthop.com/wp-content/uploads/2019/02/GettyImages-484472040-e1549992026214.jpg
Cantaloupe,Fruit,0.84,0.19,8.16,34,7.86,9,267,3382,36.7,21,https://www.organicfacts.net/wp-content/uploads/2013/06/cantaloupemelon.jpg
Nectarine,Fruit,1.06,0.32,10.55,44,7.89,6,201,332,5.4,5,https://www.meijer.com/content/dam/meijer/product/0000/00/0004/03/0000000004036_1_A1C1_1200.png
Orange,Fruit,0.94,0.12,11.75,47,9.35,40,181,225,53.2,30,https://soappotions.com/wp-content/uploads/2017/10/orange.jpg
Tangerine,Fruit,0.81,0.31,13.34,53,10.58,37,166,681,26.7,16,https://wax-oil-flavoring.com/wp-content/uploads/2016/06/Tangerine.jpg
Papaya,Fruit,0.47,0.26,10.82,43,7.82,20,182,950,60.9,37,https://img-aws.ehowcdn.com/350x235p/s3-us-west-1.amazonaws.com/contentlab.studiod/getty/12d727ad046b4336b910c9e983d9ee39.jpg
Peach,Fruit,0.91,0.25,9.54,39,8.39,6,190,326,6.6,4,https://mediad.publicbroadcasting.net/p/shared/npr/styles/x_large/nprshared/201908/740376219.jpg
Pear,Fruit,0.36,0.14,15.23,57,9.75,9,116,25,4.3,7,https://images-na.ssl-images-amazon.com/images/I/81oGNOqJY4L._SL1500_.jpg
Pineapple,Fruit,0.54,0.12,13.12,50,9.85,13,109,58,47.8,18,https://www.helpshelterpets.org/wp-content/uploads/2018/09/can-dogs-eat-pineapple.jpg
Pomegranates,Fruit,1.67,1.17,18.7,83,13.67,10,236,0,10.2,38,https://images.unsplash.com/photo-1553499944-5472133459bc?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Raspberries,Fruit,1.2,0.65,11.94,52,4.42,25,151,33,26.2,21,https://images.unsplash.com/photo-1498668629810-d79dcafa7617?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
